Gene                 P-adj               
"CG10126-PA"         3.59316553152875e-07
"ry-PA"              1.47412681302762e-06
"CG32473-PB"         0.00249956144248059 
"CG9286-PA"          0.00688285110518976 
"Abi-PD"             0.00080546186309165 
"CG14357-PB"         0.00703354593009344 
"BigH1-PA"           5.60625260704649e-07
"put-PB"             1.87992708295649e-06
"Cys-PA"             1.79065773787789e-07
"CG6912-PA"          0.0037045297600119  
"FK506-bp1-PA"       1.51436479358034e-10
"Art3-PA"            0.00640004472060167 
"Spn88Ea-PA"         0.00703354593009344 
"Spn88Ea-PB"         0.00703354593009344 
"m-cup-PA"           0.00640004472060167 
"m-cup-PB"           0.00707219204029976 
"Ns1-PA"             0.000179176457023618
"l(3)07882-PA"       0.00428718802235225 
"l(3)07882-PB"       0.00428718802235225 
"htl-PB"             0.00560428075934894 
"htl-PA"             0.00560428075934894 
"htl-PC"             0.00560428075934894 
"Non3-PA"            0.00662639915223015 
"CG8064-PA"          0.00178442841872913 
"CG18600-PA"         0.00977159499136391 
"CG7702-PA"          0.003035174368095   
"CG7702-PB"          0.003035174368095   
"CG7695-PA"          0.00677947979056863 
"Cyp12a4-PA"         0.00502205178223095 
"CG16727-PA"         1.46034755687066e-05
"CG6300-PA"          0.00909061177016005 
"Surf6-PA"           0.000694844410257413
"Sep2-PA"            0.000541763596119473
"Syp-PJ"             2.26397637182574e-05
"CG15695-PA"         0.00402259583332576 
"Smyd5-PA"           0.00468952333982745 
"CG31198-PA"         0.000370011962831591
"fit-PA"             0.00369124259557789 
"Nop56-PA"           0.00291783206703456 
"CG6937-PA"          2.31980541646864e-06
"loco-PC"            0.000326568302913711
"Dph5-PA"            0.000220927064941152
"CCT1-PB"            0.000137216504715041
"CCT1-PA"            0.000137216504715041
"CG12499-PA"         4.60602256562021e-09
"CG7029-PC"          0.00236361585600886 
"CG7029-PD"          0.00236361585600886 
"CG6733-PA"          0.000706227112998419
"Rad60-PB"           4.55520909702782e-05
"Rad60-PC"           4.55520909702782e-05
"Rad60-PF"           5.8878228742006e-06 
"CG10254-PB"         7.93143680455119e-12
"CG10254-PA"         7.93143680455119e-12
"CG31145-PD"         0.00161187711001451 
"GluProRS-PA"        7.8090702261574e-06 
"RpS19b-PB"          0.00221202317328528 
"RpS19b-PC"          0.00221202317328528 
"sba-PH"             0.000117269979437463
"Kal1-PA"            1.25691777781567e-08
"cav-PA"             3.32051721180294e-05
"Dis3-PA"            0.00420526430834455 
"Dis3-PB"            0.00420526430834455 
"CG5728-PA"          5.35585553206754e-05
"puf-PG"             0.000208984498918082
"asp-PA"             0.00974047433045801 
"Esp-PA"             2.60647963616329e-05
"Esp-PB"             2.60647963616329e-05
"Nct-PA"             0.00905996227325737 
"Nct-PC"             0.00905996227325737 
"Nct-PD"             1.18194153055233e-08
"CG11790-PA"         0.00168341077802982 
"Mocs2-PA"           0.00281334460835018 
"ssh-PB"             0.00321132074324197 
"CG31106-PB"         0.00753850172259497 
"Nup358-PB"          0.00013289900704593 
"CG11878-PA"         5.20727537045139e-07
"CG10514-PA"         0.000284372263064452
"GlnRS-PA"           0.000324074030928006
"LpR2-PA"            0.00133047772790322 
"LpR2-PE"            0.00576732963233109 
"Men-b-PA"           1.96438462049937e-07
"CG17192-PA"         0.000313079439398493
"woc-PD"             0.00013289900704593 
"CG10011-PA"         0.00822836509430635 
"CG14526-PC"         0.00161187711001451 
"CG11873-PC"         0.00226762616394269 
"CG11897-PB"         5.85790608204649e-14
"CG11897-PA"         5.85790608204649e-14
"Obp99b-PA"          0.00018764736432035 
"Obp99b-PB"          0.00018764736432035 
"Nph-PA"             0.0061648768598457  
"Nph-PB"             0.0061648768598457  
"CG2246-PJ"          0.00262446777222538 
"Sap-r-PB"           0.00640004472060167 
"CG15546-PA"         0.00424843741035539 
"Alp4-PA"            1.64795713204424e-24
"CG1542-PA"          0.00571701984926504 
"mesh-PD"            0.00109072190475745 
"awd-PE"             3.17583654479303e-06
"mod-PA"             4.1069117925535e-07 
"mod-PC"             4.1069117925535e-07 
"Map205-PA"          5.79595369058776e-05
"heph-PZ"            0.00739191658312463 
"eEF2-PA"            1.68866964038296e-05
"eEF2-PC"            1.68866964038296e-05
"eEF2-PD"            1.68866964038296e-05
"Tif-IA-PA"          3.21730252154585e-06
"CG17018-PC"         1.55127115869197e-12
"CG17018-PD"         0.00640004472060167 
"CG17018-PF"         0.00640004472060167 
"RpL21-PA"           0.00640004472060167 
"RpL21-PB"           0.00640004472060167 
"RpL21-PC"           0.00640004472060167 
"eIF3f2-PA"          1.39763218766855e-06
"Act42A-PA"          0.00296443315233816 
"CG3270-PA"          0.00905996227325737 
"Tsp42Ee-PA"         0.000849971603295574
"Tsp42Ee-PB"         0.000849971603295574
"exu-PA"             0.00150308386696891 
"exu-PB"             0.00150308386696891 
"exu-PC"             0.00150308386696891 
"exu-PD"             0.00150308386696891 
"CG13868-PA"         0.00170393446692985 
"CG13868-PB"         0.00170393446692985 
"CG9143-PA"          0.000112965107368109
"Obp56d-PA"          0.000435120237999274
"Obp56d-PB"          0.000435120237999274
"CG16926-PA"         0.00989142159438865 
"CG16926-PB"         0.00989142159438865 
"cora-PA"            0.00023559480435841 
"cer-PA"             2.20968007583304e-06
"CG18605-PB"         0.00659785444581811 
"CG18190-PB"         0.0023560773896792  
"MetRS-PA"           0.000541763596119473
"CG15098-PA"         1.17229230397881e-06
"GstE6-PA"           0.00221202317328528 
"GEFmeso-PE"         0.00717964230718076 
"CG5726-PA"          0.00892867156690899 
"P32-PA"             0.00105503914559408 
"Ns2-PA"             0.0055374610928868  
"APC7-PA"            0.000349601745263351
"Inx7-PA"            0.000201530368298421
"CBP-PC"             0.000851642597035689
"ct-PA"              0.000460687088708645
"CG2254-PA"          0.00383199615224556 
"CG2233-PA"          5.54269713680326e-05
"Crag-PB"            0.00124296861205097 
"otu-PA"             1.2615114002637e-05 
"otu-PD"             1.2615114002637e-05 
"otu-PE"             1.2615114002637e-05 
"CG1785-PA"          0.00630915131137423 
"Moe-PM"             0.00934640915528605 
"l(1)G0020-PA"       0.000869737276559679
"mei-P26-PE"         0.00467625269971449 
"mei-P26-PC"         0.00467625269971449 
"CG17754-PC"         0.00762744606842576 
"CG17754-PA"         0.00762744606842576 
"CG17754-PG"         6.98499984915883e-05
"LysRS-PA"           0.00096112697804036 
"Yp1-PA"             3.94759143394819e-07
"Yp1-PB"             3.94759143394819e-07
"ZAP3-PF"            0.000221256326962036
"X11Lbeta-PD"        0.00178069717111738 
"Treh-PC"            0.00380462828184237 
"Treh-PF"            0.00380462828184237 
"CG10527-PA"         0.00951819255521991 
"CG9394-PA"          0.000997024165324021
"CG9394-PB"          0.000997024165324021
"Xbp1-PD"            0.00702781759908831 
"dom-PE"             0.00694333541424859 
"ASPP-PA"            1.47037769646396e-07
"Mtap-PB"            0.000350342285250324
"NT5E-2-PB"          7.53233685711133e-07
"NT5E-2-PA"          7.53233685711133e-07
"eIF3b-PB"           8.21232802828157e-05
"eIF3b-PA"           8.21232802828157e-05
"mthl4-PB"           0.00902071257570802 
"CG30460-PI"         0.00082121590699963 
"CG8306-PA"          0.00124296861205097 
"Asph-PA"            0.000627686392611046
"clu-PA"             1.03631531014797e-06
"CG8414-PA"          0.000594400843286034
"scb-PB"             0.00912621383104885 
"scb-PA"             8.37296200994761e-05
"row-PC"             0.00219696682928386 
"Kank-PE"            0.000857165643292953
"AttA-PA"            0.000808151943001906
"AttB-PA"            0.00324207885632811 
"AttB-PB"            0.00324207885632811 
"Cyp6a23-PA"         2.20968007583304e-06
"Cyp6a20-PB"         4.28365076593188e-05
"Cyp6a8-PA"          8.11146911486856e-07
"RpI1-PA"            6.16657041338037e-07
"CG30076-PA"         2.07477804781322e-05
"Arc1-PA"            0.000541763596119473
"Hsc70-5-PA"         0.000159975458781668
"Hsc70-5-PB"         0.000159975458781668
"CG6357-PA"          5.2625766544099e-08 
"mEFTu1-PA"          0.000159975458781668
"mEFTu1-PB"          0.000159975458781668
"CG4679-PA"          0.00644093825503729 
"CG4670-PA"          0.00940451746537125 
"CG4670-PB"          0.00940451746537125 
"CG13323-PA"         0.000913755585430875
"CG13323-PB"         0.000913755585430875
"Amph-PC"            0.000777999350727015
"Sin3A-PD"           0.00703718703834035 
"Ak6-PA"             0.00760181952993307 
"Lac-PA"             0.00768172664496117 
"CG8545-PA"          3.77421047083433e-07
"CCT5-PA"            0.000587441579053442
"Oda-PB"             8.29846735689264e-05
"Prp8-PA"            0.00266639458397626 
"CG13185-PD"         0.000206575231129666
"CG12325-PA"         0.00273241147439689 
"CG12325-PB"         0.00273241147439689 
"CAP-PL"             0.00967183398485738 
"CG12909-PA"         0.00894038092337049 
"CG30008-PA"         0.0003584375119505  
"CG12134-PA"         0.000197851575719659
"Def-PA"             0.00630915131137423 
"ana-PB"             1.00726720886875e-07
"Cyp4p3-PA"          7.53233685711133e-07
"Mys45A-PA"          4.85012199420123e-05
"CG30349-PA"         4.15303727425401e-06
"PGRP-SC2-PA"        1.36554619356608e-07
"CG14767-PA"         0.000847822127131942
"Rs1-PA"             0.00222420276646898 
"Rs1-PB"             0.00222420276646898 
"CG30371-PA"         0.00270903812696231 
"MFS12-PA"           0.00905996227325737 
"CG18812-PA"         0.00905996227325737 
"tor-PD"             0.000860453218047828
"LRR-PD"             0.00198243794776994 
"LRR-PF"             0.00943186491724307 
"RpS3A-PA"           9.17177179134322e-05
"RpS3A-PF"           9.17177179134322e-05
"CG11076-PD"         0.00662664272860785 
"CG11076-PE"         0.00662664272860785 
"eIF4G1-PA"          5.69349018411204e-07
"eIF4G1-PC"          5.69349018411204e-07
"Lsp2-PA"            6.05847799246964e-15
"Lsp2-PB"            6.05847799246964e-15
"Atpalpha-PA"        0.00214054416640391 
"CG5002-PA"          0.00222420276646898 
"CG5033-PA"          3.89918561376103e-05
"CG11892-PB"         0.00468952333982745 
"CG11892-PA"         0.00468952333982745 
"r-PA"               0.00847117153613899 
"r-PD"               0.00847117153613899 
"r-PE"               0.00847117153613899 
"Mlc2-PA"            0.00762744606842576 
"Cyp6d5-PA"          0.000913755585430875
"Muc11A-PB"          0.000185212382011518
"Pura-PB"            0.000102763184824486
"csul-PB"            0.00988895242073077 
"CG5789-PA"          3.81992113181034e-08
"CG5789-PB"          3.81992113181034e-08
"CG30069-PA"         0.00739784861881023 
"CG11674-PA"         1.5601265679526e-06 
"CG5612-PA"          4.33628447370492e-05
"Elp2-PA"            7.08870879910863e-07
"CG30026-PB"         0.00441519205160561 
"CG8939-PA"          0.000349601745263351
"FKBP59-PA"          5.50877641263474e-09
"FKBP59-PB"          5.50877641263474e-09
"Bka-PA"             0.00202582983393759 
"hoe1-PH"            0.000230959721928171
"Jon25Bii-PA"        0.00535301646194601 
"Jon25Bii-PB"        0.00535301646194601 
"Jon25Biii-PA"       1.30558622805957e-15
"eIF3i-PA"           0.00798842232407821 
"osk-PA"             1.84969356308105e-05
"CkIIbeta-PK"        0.00833549271430026 
"14-3-3zeta-PB"      0.000493118789163643
"14-3-3zeta-PH"      0.000493118789163643
"14-3-3zeta-PG"      0.000493118789163643
"14-3-3zeta-PA"      0.000493118789163643
"14-3-3zeta-PI"      0.000493118789163643
"dec-1-PF"           1.7381620599382e-07 
"cher-PI"            3.22852174261643e-12
"Mp20-PA"            0.00284102734423058 
"Top1-PA"            0.0077372875817028  
"Top1-PC"            0.0077372875817028  
"Cat-PA"             6.71667381599329e-05
"up-PK"              0.00697078937289312 
"Eph-PD"             0.000513799546503532
"ena-PB"             9.51040277511304e-07
"CG11889-PA"         0.00535157647993132 
"CG11889-PB"         0.00535157647993132 
"mtd-PV"             0.00565622724182155 
"tral-PC"            3.65349814870062e-09
"Dh31-R-PC"          0.00912621383104885 
"fax-PA"             9.16448635084254e-07
"ths-PB"             0.000358597123166516
"His1:CG31617-PA"    3.2069019552447e-13 
"His1:CG33813-PA"    3.2069019552447e-13 
"His3:CG33818-PA"    0.003035174368095   
"His3:CG33821-PA"    0.003035174368095   
"His3:CG33824-PA"    0.003035174368095   
"His3:CG33827-PA"    0.003035174368095   
"His3:CG33830-PA"    0.003035174368095   
"His4:CG33891-PA"    1.34802213451408e-08
"His4:CG33893-PA"    1.34802213451408e-08
"His4:CG33895-PA"    1.34802213451408e-08
"His4:CG33897-PA"    1.34802213451408e-08
"His4:CG33899-PA"    1.34802213451408e-08
"kay-PF"             0.00178069717111738 
"AlaRS-PB"           0.000777999350727015
"AlaRS-PA"           0.000777999350727015
"Yp3-PA"             4.03689800372324e-06
"Yp3-PB"             4.03689800372324e-06
"Nopp140-PA"         0.00915146100975706 
"Trl-PI"             9.93889616831682e-06
"Trl-PJ"             0.00157504237158187 
"lectin-28C-PB"      0.00652394691724599 
"lectin-28C-PC"      0.00652394691724599 
"Fbp2-PA"            0.00147222570876535 
"Fbp2-PB"            0.00147222570876535 
"Fbp2-PC"            0.00147222570876535 
"CG32023-PA"         0.00274639023275278 
"sev-PA"             0.00446459181042922 
"CG4927-PC"          0.00301840655209171 
"CG33258-PB"         0.000173943867590825
"CG33258-PC"         0.000173943867590825
"CG34043-PB"         0.00836495246081579 
"CG7878-PA"          0.00562503666844577 
"CG17514-PA"         1.18044764417374e-05
"CG34126-PE"         5.50724136100329e-14
"FASN3-PC"           0.00109072190475745 
"CG34166-PA"         0.00171097204260913 
"CG34166-PB"         0.00171097204260913 
"CG34166-PC"         0.00171097204260913 
"CG34166-PD"         0.00171097204260913 
"CG34323-PA"         0.000442879687147213
"CG34347-PE"         5.82424773499113e-08
"CG34401-PB"         5.40923834310147e-07
"NaCP60E-PL"         0.00179967582663421 
"CG34417-PM"         0.00296470222456508 
"del-PB"             0.000913755585430875
"spn-F-PB"           0.000392005044578589
"lap-PI"             0.00226762616394269 
"l(2)k09022-PA"      0.000101938396120639
"Plp-PK"             6.07993038260797e-07
"Plp-PM"             0.0004587174321419  
"Plp-PO"             0.00740735634749195 
"sls-PV"             0.00170346025773645 
"sls-PX"             0.00105503914559408 
"mbm-PA"             8.27986283228375e-05
"apolpp-PA"          2.20968007583304e-06
"apolpp-PB"          2.20968007583304e-06
"apolpp-PC"          2.20968007583304e-06
"apolpp-PD"          2.20968007583304e-06
"alphaTub67C-PA"     4.14512314272481e-05
"kra-PA"             0.00461621726123806 
"kra-PG"             0.00461621726123806 
"kra-PC"             0.00461621726123806 
"kra-PF"             0.00461621726123806 
"kra-PD"             0.00461621726123806 
"kra-PB"             0.00461621726123806 
"kra-PE"             0.00461621726123806 
"beta-Spec-PA"       0.00160029794877343 
"CG33521-PG"         0.00482949930543828 
"26-29-p-PA"         1.62289195308241e-05
"CG34434-PB"         0.000237333452262692
"CG42268-PD"         1.28648532182331e-05
"Nedd4-PJ"           0.00314597562843001 
"CG42321-PJ"         2.67630651867403e-05
"C3G-PH"             0.00283093651323023 
"Mob2-PA"            0.00283093651323023 
"Pkcdelta-PE"        5.73681322638104e-05
"Jabba-PD"           8.53385366828728e-08
"Ca-beta-PL"         0.00972719451354064 
"Tdc1-PA"            0.00540381503593206 
"kuz-PC"             1.23053697849484e-05
"CG42521-PA"         1.58536062992797e-06
"Ziz-PH"             1.17229230397881e-06
"mfas-PQ"            4.88135757047534e-09
"Mulk-PA"            0.00215416201127311 
"wisp-PA"            0.000541763596119473
"wisp-PC"            0.000541763596119473
"pic-PA"             2.3885611309568e-05 
"Ubr3-PC"            2.20968007583304e-06
"alc-PA"             2.99227684633204e-05
"Pif1A-PH"           0.000550373322894809
"Pif1A-PJ"           0.000550373322894809
"clos-PD"            3.44796598959528e-15
"Cad86C-PE"          0.00662639915223015 
"mgl-PA"             1.53399474290368e-05
"mgl-PC"             1.53399474290368e-05
"mgl-PD"             1.53399474290368e-05
"mgl-PE"             1.53399474290368e-05
"grp-PD"             0.00018764736432035 
"grp-PF"             0.00018764736432035 
"Mat89Ba-PA"         0.00967183398485738 
"mRpL37-PB"          0.000364717563294029
"didum-PA"           2.48075341994984e-07
"CG42672-PK"         0.000740332476085306
"CG42684-PD"         0.00690438665151584 
"CG42704-PA"         1.38387950317634e-06
"CG42705-PB"         0.00424843741035539 
"CG42705-PA"         0.00424843741035539 
"nocte-PC"           0.00894038092337049 
"nocte-PA"           0.00894038092337049 
"nocte-PB"           0.00894038092337049 
"CG42748-PK"         0.000310707989825455
"CG42780-PB"         0.000228363610479271
