"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"CG3038-PC" 25.2630045385437 -0.520057966882088 2.38586955195336 -0.217974183230724 0.827449226584808 0.972615503542497
"Appl-PA" 3.87774758047917 5.43616719573455 4.79882963931614 1.13281104025798 0.25729361416407 NA
"Appl-PB" 0 NA NA NA NA NA
"Appl-PC" 13.9482395960214 0.721183311126877 2.50750449665944 0.287609977205487 0.773645306744178 0.967181530715693
"Appl-PD" 5.18454345429825 -5.81737098017443 4.79492626619624 -1.21323471044515 0.225040096862539 NA
"Appl-PE" 0 NA NA NA NA NA
"Appl-PF" 0 NA NA NA NA NA
"CG13369-PA" 76.9948064293253 0.0293387746409021 0.569783606033186 0.051491082457001 0.958934207595174 0.99606030531633
"CG17829-PA" 24.4958842247151 -1.13214504008415 2.47366873890665 -0.457678517045315 0.647183424420287 0.928416490126631
"CG17829-PC" 30.7156161728506 -1.56723543841022 3.69275415744471 -0.424408279454678 0.671268083614286 0.936184016150491
"CG17829-PB" 24.4958842247151 -1.13214504008415 2.47366873890665 -0.457678517045315 0.647183424420287 0.928416490126631
"l(1)1Bi-PA" 770.847460198171 -1.36312505183463 0.325347670468594 -4.1897489226566 2.79263283033931e-05 0.00104070070925788
"su(sable)-PA" 213.620201920948 -0.110264385975411 0.32122060941341 -0.343266847593522 0.731397719047615 0.955508286787684
"su(sable)-PB" 0 NA NA NA NA NA
"su(sable)-PC" 213.620201920948 -0.110264385975411 0.32122060941341 -0.343266847593522 0.731397719047615 0.955508286787684
"CG13367-PA" 110.808975809849 0.301232253126695 0.459295437230519 0.655857273355642 0.511915961533287 0.866281846121478
"Roc1a-PC" 12.5776407847412 -0.388486886826843 1.59223587677469 -0.243988276167838 0.80723989984186 0.970382742547377
"Roc1a-PA" 78.9546897678492 -0.196484686558937 0.636667517633532 -0.308614278437296 0.757614958105152 0.961118123020602
"Roc1a-PD" 78.9546897678492 -0.196484686558937 0.636667517633532 -0.308614278437296 0.757614958105152 0.961118123020602
"CG5254-PA" 26.8575191325606 1.71964131668791 1.44482149452102 1.19021022542165 0.233963775171845 0.61846041794196
"CG5254-PB" 18.015799691668 0.794217238117621 1.07842725366024 0.736458797217897 0.461451533599586 0.839705108791004
"CG5273-PA" 7.84387149893836 1.6030881532528 1.53696671471946 1.04302073551763 0.296938689319515 NA
"CG5273-PC" 7.84387149893836 1.6030881532528 1.53696671471946 1.04302073551763 0.296938689319515 NA
"CG5273-PB" 7.84387149893836 1.6030881532528 1.53696671471946 1.04302073551763 0.296938689319515 NA
"fz3-PA" 5.63550054123179 0.925652397840513 1.60776748349935 0.57573772783724 0.564792470195177 NA
"fz3-PB" 3.28151939283261 -0.929203911834056 4.63778232344461 -0.200355223042014 0.8412027762454 NA
"fz3-PC" 5.63550054123179 0.925652397840513 1.60776748349935 0.57573772783724 0.564792470195177 NA
"CG16989-PA" 131.415364524584 0.187001349964134 0.407058001318139 0.459397307898591 0.645948881134153 0.928416490126631
"CG16989-PB" 131.415364524584 0.187001349964134 0.407058001318139 0.459397307898591 0.645948881134153 0.928416490126631
"CG14635-PA" 0 NA NA NA NA NA
"CG13358-PD" 0.901548336990851 3.34114731360912 4.84460581915309 0.689663398495692 0.490405888265487 NA
"CG13359-PA" 0.676161252743138 2.92851288364702 4.86425068194511 0.602048100546489 0.547142119797045 NA
"Rbf-PA" 244.219074356195 -0.764011736548105 0.481638707569305 -1.58627561394278 0.112676801642557 0.436516029880384
"CG13360-PA" 38.5155821232411 1.07091471594215 0.778772720083672 1.37513126529019 0.169090752915107 0.528693123073677
"RpL22-PA" 1768.09209576902 -0.628547510017013 0.181574781736833 -3.46164541135456 0.000536884002162444 0.0109153538856911
"CG13361-PA" 3.76335098004521 0.313376401443133 2.37617652325422 0.131882626722512 0.895077130455781 NA
"CG13362-PA" 1.5491405673007 0.200445326922702 4.7062639584065 0.0425911782029691 0.966027427884706 NA
"Hmt4-20-PA" 267.837343036126 0.032016946682648 0.388576119769627 0.0823955592063398 0.934332167284172 0.990694112800509
"Hmt4-20-PB" 267.837343036126 0.032016946682648 0.388576119769627 0.0823955592063398 0.934332167284172 0.990694112800509
"RpL36-PA" 731.861204341465 -0.266413937405978 0.376762799110833 -0.707113170500697 0.479496151920064 0.849262111223532
"RpL36-PB" 731.861204341465 -0.266413937405978 0.376762799110833 -0.707113170500697 0.479496151920064 0.849262111223532
"RpL36-PD" 731.861204341465 -0.266413937405978 0.376762799110833 -0.707113170500697 0.479496151920064 0.849262111223532
"RpL36-PC" 731.861204341465 -0.266413937405978 0.376762799110833 -0.707113170500697 0.479496151920064 0.849262111223532
"RpL36-PE" 731.861204341465 -0.266413937405978 0.376762799110833 -0.707113170500697 0.479496151920064 0.849262111223532
"CG13364-PA" 197.780997931504 -0.642117489379469 0.520171904739335 -1.23443323933699 0.217041509427118 0.59539812875687
"CG13365-PA" 30.7394799127708 -0.771923313643732 0.843660847814358 -0.914968752720392 0.360208034414931 0.759774280946592
"CG13366-PA" 0 NA NA NA NA NA
"CG13366-PB" 77.5207002165962 0.00687298512132231 0.522231502864765 0.0131608014522673 0.989499502840387 0.998117809957244
"CG13366-PC" 77.5207002165962 0.00687298512132231 0.522231502864765 0.0131608014522673 0.989499502840387 0.998117809957244
"CG13366-PD" 0 NA NA NA NA NA
"CG13366-PE" 0 NA NA NA NA NA
"CG13366-PF" 77.5207002165962 0.00687298512132231 0.522231502864765 0.0131608014522673 0.989499502840387 0.998117809957244
"CG13366-PG" 11.8727239830119 -7.01313086634203 2.59152456252179 -2.70617958547057 0.00680622280720238 0.0713265228176289
"CG14634-PB" 0.4937660432665 -2.42334095077777 4.89080030564193 -0.495489653908431 0.620254523371984 NA
"CG11664-PA" 2.31336224835037 0.433355928315947 2.51507340546969 0.172303491171868 0.863198939843772 NA
"CG11663-PA" 0 NA NA NA NA NA
"CG11663-PB" 0 NA NA NA NA NA
"MED22-PA" 45.5763749609372 -0.322634084709805 0.839192825463662 -0.384457629903528 0.700639293751443 0.944699438826733
"CG32815-PC" 0.472270105880963 -0.0184651730937412 4.987291948362 -0.00370244479066557 0.997045883213525 NA
"CG32815-PD" 0.472270105880963 -0.0184651730937412 4.987291948362 -0.00370244479066557 0.997045883213525 NA
"TRAM-PB" 28.9543668567399 0.0263400215593321 0.83072210768905 0.0317073800197834 0.974705409442646 0.997954704196808
"TRAM-PA" 28.9543668567399 0.0263400215593321 0.83072210768905 0.0317073800197834 0.974705409442646 0.997954704196808
"TRAM-PC" 28.9543668567399 0.0263400215593321 0.83072210768905 0.0317073800197834 0.974705409442646 0.997954704196808
"TRAM-PD" 28.9543668567399 0.0263400215593321 0.83072210768905 0.0317073800197834 0.974705409442646 0.997954704196808
"TRAM-PE" 28.9543668567399 0.0263400215593321 0.83072210768905 0.0317073800197834 0.974705409442646 0.997954704196808
"mus81-PA" 38.4839012361036 -1.05137156010718 0.862000720838431 -1.21968756486021 0.222583337355715 0.601933503700718
"CG18823-PA" 0 NA NA NA NA NA
"CG14631-PA" 0 NA NA NA NA NA
"CG3021-PA" 72.2882354981511 -0.706386773503099 0.570734648031575 -1.23767984989063 0.215834793531278 0.593017117809406
"CG14629-PA" 215.60284857371 1.36429041134789 0.480868235204021 2.83713980560404 0.00455196752701295 0.0532297664745046
"CG14628-PA" 0.464785303313718 0.00393867455285794 4.98888679108268 0.000789489663284817 0.999370078452189 NA
"CG3655-PA" 13.1540323440905 -2.26121195581573 2.26633657835503 -0.997738807823936 0.318406029674006 0.715430972159878
"CG3655-PB" 13.1540323440905 -2.26121195581573 2.26633657835503 -0.997738807823936 0.318406029674006 0.715430972159878
"CG3655-PC" 134.680127705639 0.943838524962169 0.820492433717684 1.15033178390884 0.250007244663093 0.63909586016997
"CG3655-PD" 13.1540323440905 -2.26121195581573 2.26633657835503 -0.997738807823936 0.318406029674006 0.715430972159878
"CDC45L-PA" 154.352226181417 -0.992431138330828 0.389335298817415 -2.5490397129294 0.0108019998787597 0.0989512209315232
"CG11638-PA" 10.2509970728073 2.58668397773685 1.46169417518596 1.76964786591406 0.0767858197491568 0.349056396693486
"TfIIA-S-2-PA" 49.9397019007638 5.33166920293851 1.07401544893567 4.96423883680828 6.89710261023245e-07 4.99774666064536e-05
"CG3690-PA" 40.2742795512266 2.64202152625794 1.14827998313216 2.30085132987454 0.0214000359312565 0.159009206507619
"CG3690-PB" 40.2742795512266 2.64202152625794 1.14827998313216 2.30085132987454 0.0214000359312565 0.159009206507619
"CG3699-PA" 130.662113348684 3.46470076506404 1.04326452884822 3.32101846584311 0.000896896030375723 0.0159745473645491
"CG3703-PA" 14.7370846047927 0.40260468134083 1.17487191971911 0.342679635612609 0.731839484545275 0.955720140168644
