"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"CG14661-PA" 34.0423859950771 3.1681305784434 0.884015647665391 3.58379468373683 0.000338638312324567 0.00760976016982738
"CG14661-PB" 34.0423859950771 3.1681305784434 0.884015647665391 3.58379468373683 0.000338638312324567 0.00760976016982738
"Cont-PA" 676.007277802675 0.864861695413034 0.215972753432409 4.00449446362086 6.21502465794956e-05 0.00201110607061436
"Bsg25D-PB" 59.7225440490299 -9.34379695493534 2.02145997117676 -4.6223012516523 3.79506348622232e-06 0.000204280919302419
"Bsg25D-PC" 40.3551644749516 8.81823892869871 1.86649226230605 4.72449798307965 2.30684504956966e-06 0.000137216504715041
"cup-PB" 204.207553714117 -1.82937142383974 0.360613316510091 -5.07294473078214 3.91706296163013e-07 3.04668438428443e-05
"cup-PC" 204.207553714117 -1.82937142383974 0.360613316510091 -5.07294473078214 3.91706296163013e-07 3.04668438428443e-05
"nop5-PA" 2006.49356448087 -1.22752386494756 0.321471752095354 -3.81845016536152 0.000134292705201687 0.00369124259557789
"nrv1-PA" 367.920110412461 1.73943424902404 0.369119878939369 4.71238301773976 2.4483663664019e-06 0.000144147569821912
"nrv1-PB" 367.920110412461 1.73943424902404 0.369119878939369 4.71238301773976 2.4483663664019e-06 0.000144147569821912
"CG5171-PD" 122.726622436589 1.94274727035175 0.526020785684957 3.69328992926013 0.000221371389274667 0.00548768022886147
"CG5958-PA" 98.997824521052 2.87133060152511 0.531950488922084 5.39774031854623 6.74854477200947e-08 7.52817928646004e-06
"Uro-PA" 680.635762199328 4.23919289760208 0.81335627828295 5.21197538002817 1.8684034998187e-07 1.65867276140973e-05
"cdc14-PC" 71.4684882407419 -9.60264155920406 1.70397812577489 -5.63542536958169 1.74626757585295e-08 2.20968007583304e-06
"cdc14-PE" 55.6733550573054 9.2813897295189 1.74571950496111 5.31665579902292 1.05691728359217e-07 1.07311912937658e-05
"Cka-PF" 47.3421850062048 9.04714684474111 2.12018677683461 4.26714615126894 1.97989458097433e-05 0.000797413123871752
"CG7466-PB" 179.925346174679 1.61354152929767 0.398466097695875 4.04938221501892 5.13530156515001e-05 0.00172083346519138
"CG7466-PC" 157.943903475849 -2.01972504164469 0.4885628507402 -4.13401272443186 3.56483724471606e-05 0.00127521899412248
"Rack1-PA" 813.642039681053 -1.0410914307145 0.194972560125311 -5.33968179955875 9.31098588761401e-08 9.74549856236933e-06
"Rack1-PD" 813.642039681053 -1.0410914307145 0.194972560125311 -5.33968179955875 9.31098588761401e-08 9.74549856236933e-06
"Rack1-PC" 813.642039681053 -1.0410914307145 0.194972560125311 -5.33968179955875 9.31098588761401e-08 9.74549856236933e-06
"CG7627-PA" 692.422652134647 -1.17304765067109 0.24760482718098 -4.73757989303528 2.16285599129109e-06 0.000131445828632013
"CG7627-PB" 692.422652134647 -1.17304765067109 0.24760482718098 -4.73757989303528 2.16285599129109e-06 0.000131445828632013
"Pvr-PO" 37.6749756621732 8.71760989729151 2.4326136295559 3.58363933810689 0.000338839875455277 0.00760976016982738
"Pvr-PK" 45.6993007271011 8.99617389326931 2.06893804558971 4.34820845043967 1.37254121046159e-05 0.000581820219114668
"CG13097-PA" 597.424094285672 -1.32303574665575 0.321551395875251 -4.11453896212921 3.87954029170557e-05 0.00137044760804499
"CG13096-PA" 364.886523629583 -1.14761875127938 0.29625103378991 -3.87380505174281 0.000107149136581629 0.003035174368095
"CG13096-PB" 364.886523629583 -1.14761875127938 0.29625103378991 -3.87380505174281 0.000107149136581629 0.003035174368095
"CG13397-PA" 103.795854955276 -2.77638249669495 0.514938921653121 -5.39167341979485 6.98045467537567e-08 7.68575256335519e-06
"CG13397-PB" 103.795854955276 -2.77638249669495 0.514938921653121 -5.39167341979485 6.98045467537567e-08 7.68575256335519e-06
"LManVI-PA" 301.19505670577 3.36107383440375 0.681912687851788 4.92889176910911 8.26973682683959e-07 5.79595369058776e-05
"LManV-PA" 108.082855822996 3.51156715143587 0.814334321447179 4.31219347993998 1.61642886721334e-05 0.000668491899328522
"LManV-PB" 108.082855822996 3.51156715143587 0.814334321447179 4.31219347993998 1.61642886721334e-05 0.000668491899328522
"LManIII-PA" 46.9603679170682 5.5684047403946 1.34203560229639 4.14922281559919 3.33605971728994e-05 0.00120610295450678
"LManIII-PB" 46.9603679170682 5.5684047403946 1.34203560229639 4.14922281559919 3.33605971728994e-05 0.00120610295450678
"CG4364-PA" 1688.79970005475 -1.17668925589326 0.24278474811256 -4.8466358164629 1.25572632705096e-06 8.31722484432659e-05
"CG17633-PA" 76.2994295346253 2.61776164959024 0.657537744182182 3.98115799853604 6.85803425807442e-05 0.0021735482033628
"CG4747-PA" 321.101162627514 -1.93086676856665 0.506904528221696 -3.80913300447413 0.0001394549305142 0.00379550208956465
"CG4747-PC" 321.101162627514 -1.93086676856665 0.506904528221696 -3.80913300447413 0.0001394549305142 0.00379550208956465
"eEF1delta-PB" 1535.73221649591 -1.15237091273223 0.244773661163197 -4.7079040582063 2.5027684041628e-06 0.000146840626508597
"me31B-PA" 3221.15740512069 -2.20894844744825 0.251489074239474 -8.78347679368699 1.58497597864435e-18 2.06729636106874e-15
"RpS27A-PA" 7518.4105960741 -0.713882339392009 0.190884994185819 -3.73985573060329 0.000184125903293427 0.00469479521239602
"Ip259-PA" 1327.56230640662 -0.785476279228236 0.184828478208837 -4.2497578665379 2.14001720011963e-05 0.000843863526633222
"Ip259-PB" 1327.56230640662 -0.785476279228236 0.184828478208837 -4.2497578665379 2.14001720011963e-05 0.000843863526633222
"LManII-PB" 516.626560375931 1.70072539341311 0.321288512350868 5.2934522338471 1.20028603819258e-07 1.18693468927643e-05
"RluA-2-PA" 27.4635474325713 -8.22307108577416 2.28420953842703 -3.59996355300959 0.000318261787208963 0.00725328879558492
"RluA-2-PD" 27.4635474325713 -8.22307108577416 2.28420953842703 -3.59996355300959 0.000318261787208963 0.00725328879558492
"CG5355-PA" 1230.486463899 -0.611627667567658 0.160429337293822 -3.81244277315363 0.000137600094605558 0.00375998501605792
"CG7300-PB" 47.3160442330501 4.20593573801769 0.844865690914597 4.9782300112869 6.41683734391467e-07 4.72264438962639e-05
"CG7300-PD" 47.3160442330501 4.20593573801769 0.844865690914597 4.9782300112869 6.41683734391467e-07 4.72264438962639e-05
"aub-PA" 477.07443441103 -1.58001710705586 0.295821531765786 -5.34111596821432 9.23761355112338e-08 9.74549856236933e-06
"CG6724-PA" 218.060155796485 -1.50944786849191 0.377032728584216 -4.00349294386191 6.24140635710739e-05 0.00201579592744977
"Dlg5-PC" 19.4512496279702 -7.7252636341211 2.19248157856177 -3.52352499088669 0.00042584693556533 0.00910549891481176
"bru1-PA" 978.0866245781 -2.09422964888386 0.518226681037563 -4.04114594156154 5.31906418192937e-05 0.00177539472970068
"bru1-PE" 978.0866245781 -2.09422964888386 0.518226681037563 -4.04114594156154 5.31906418192937e-05 0.00177539472970068
"CG6712-PA" 368.557500481119 -1.33003678442103 0.326860742041297 -4.06912367669098 4.71902940991092e-05 0.0016197543051508
"CCT4-PA" 727.733472135162 -1.17656581256735 0.24825323181115 -4.73937762656149 2.143756564282e-06 0.000131445828632013
"CG5867-PA" 282.670014753278 2.00592330870932 0.392757377228768 5.10728359289591 3.26823059723066e-07 2.67630651867403e-05
"Nnp-1-PA" 1147.32508496847 -1.21944571687391 0.339613985737551 -3.59068168004214 0.000329814239503821 0.00745644032670239
"CAH1-PA" 95.7027108000597 2.65493802920816 0.667100752951407 3.97981566871586 6.89687245761155e-05 0.00218177927968771
"CG7916-PA" 85.9469872543638 3.33610786689859 0.801661499384873 4.16149193825379 3.16175161673788e-05 0.00115291742824532
"CG7953-PA" 43.4850709173311 3.34912297131307 0.890943359206239 3.75907507105377 0.000170542664537031 0.00446943032440479
"CG7953-PB" 43.4850709173311 3.34912297131307 0.890943359206239 3.75907507105377 0.000170542664537031 0.00446943032440479
